timestamp_utc,source,symbol,price_text
2025-10-05T21:27:35.477479+00:00,coingecko.html,unknown,"4,288T $"
2025-10-05T21:39:38.996612+00:00,coingecko.html,unknown,"4,288T $"
2025-10-05T21:39:47.863497+00:00,coingecko.html,unknown,"4,288T $"
